Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Fellowship","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108873381/the-fellowship,2.3,-1,Sport,5.9+,1,35,30.37729,-98.11693
"Up in Smoke","Cheech and Chong Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107911117/up-in-smoke,2.1,-1,Sport,5.10b,1,35,30.37774,-98.11552
"Love Potion No. 9","Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108309322/love-potion-no-9,2.2,-1,Sport,5.9,1,,30.37766,-98.11613
"Milwaukee's Beast","Cheap Beer Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108764491/milwaukees-beast,2.6,-1,Sport,5.8-,1,35,30.37893,-98.11271
"One Ring to Rule Them All","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108766033/one-ring-to-rule-them-all,2.1,-1,Sport,"5.8+ R",1,35,30.37729,-98.11693
"Still Smokin","Cheech and Chong Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108681620/still-smokin,2.1,-1,Sport,5.9,1,,30.37774,-98.11552
"Illusionary Mentor","Insanity Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108873437/illusionary-mentor,2.6,-1,Sport,5.10-,1,50,30.37708,-98.1178
Hexed,"Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108681541/hexed,2.1,-1,Sport,5.9+,1,,30.37766,-98.11613
R.I.P.,"Holladay Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107983578/rip,2.5,-1,Sport,5.10a,1,30,30.37873,-98.11307
"Dr. Jekyll","Insanity Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108873456/dr-jekyll,2.3,-1,Sport,5.10b,1,50,30.37708,-98.1178
"Hey Mr. Lizard Man","Cheech and Chong Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108681546/hey-mr-lizard-man,2.1,-1,Sport,5.8,1,,30.37774,-98.11552
"Mostly Labrador","Cheech and Chong Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108681627/mostly-labrador,2.2,-1,Sport,5.9,1,,30.37774,-98.11552
"Right in Two","Buzzards Roof > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/109470452/right-in-two,2.4,-1,Sport,5.10b,1,25,30.37845,-98.11399
PLD,"Little Guide's Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108155753/pld,2.3,-1,Sport,5.9,1,20,30.37843,-98.1138
"Bound to Divide","Buzzards Roof > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/109193567/bound-to-divide,2.6,-1,Sport,5.8,1,30,30.37845,-98.11399
"Mr. Hyde","Insanity Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108873480/mr-hyde,2.5,-1,Sport,5.10b,1,50,30.37708,-98.1178
"Earth's End","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108155649/earths-end,2.2,-1,Sport,5.10a/b,1,45,30.37729,-98.11693
Drillzaster,"Little Guide's Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108764713/drillzaster,2.9,-1,Sport,"5.9 R",1,40,30.37843,-98.1138
"Mickey's Big Mouth","Cheap Beer Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108764496/mickeys-big-mouth,2.4,-1,"Trad, TR",5.7,1,35,30.37893,-98.11271
"What a Load","Little Guide's Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108764696/what-a-load,2.2,-1,Sport,5.10b,1,25,30.37843,-98.1138
